	name	city	fulladdress	lat	long	location	cityalias	display_address	pincode	storemap_link	store_status
314567	A.R.READYMADE GARMENTS	NEEMUCH	PETER ENGLAND SHOWROOM,NAREDI COMPLEX , NEAR DASHERA MAIDAN , OPP FIROZE SHAH PETROL PUMP , NEEMUCH (M. P.)458441	24.459907	74.864667	24.459907,74.864667	NEEMUCH	PETER ENGLAND SHOWROOM,NAREDI COMPLEX , NEAR DASHERA MAIDAN , OPP FIROZE SHAH PETROL PUMP , NEEMUCH (M. P.)458441	458441		
313450	ANJANA GARMENTS	SANGLI	PETER ENGLAND SHOWROOM,RAJWADA CHOWK, SANGLI, MAHARASHTRA- 416416	16.89630123	74.56691784	16.89630123,74.56691784	SANGLI	PETER ENGLAND SHOWROOM,RAJWADA CHOWK, SANGLI, MAHARASHTRA- 416416	416416		
314582	ASHOKA 3	BHILAI	PETER ENGLAND SHOWROOM,1/5, AKASH GANGA COMPLEX SUPELA BHILAI490023	21.205562	81.348565	21.205562,81.348565	BHILAI	PETER ENGLAND SHOWROOM,1/5, AKASH GANGA COMPLEX SUPELA BHILAI490023	490023		
313583	DRESS CIRCLE	NAGPUR	PETER ENGLAND SHOWROOM,212, UTKHANA ROAD , NEAR MEDICAL SQUARE, NAGPUR - 440002 .440009	21.1343867	79.0829818	21.1343867,79.0829818	NAGPUR	PETER ENGLAND SHOWROOM,212, UTKHANA ROAD , NEAR MEDICAL SQUARE, NAGPUR - 440002 .440009	440009		
314529	GAGAN	BILASPUR	PETER ENGLAND SHOWROOM,SHOP NO B-1, RAJIV PLAZA ,OPP. AXIS BANK  BILASPUR- CHHATTISGARH495001	22.075018	82.159347	22.075018,82.159347	BILASPUR	PETER ENGLAND SHOWROOM,SHOP NO B-1, RAJIV PLAZA ,OPP. AXIS BANK  BILASPUR- CHHATTISGARH495001	495001		
314565	KANISHKA COLLECTION	WAIDHAN	PETER ENGLAND SHOWROOM,KANISHA COLLECTION,NEAR BAGHEL,PETROL PUMP,VINDHYANAGAR MAIN ROAD,WAIDHAN, SINGRAULLI, MADHYA PRADESH486886	24.11525	82.64434	24.11525,82.64434	WAIDHAN	PETER ENGLAND SHOWROOM,KANISHA COLLECTION,NEAR BAGHEL,PETROL PUMP,VINDHYANAGAR MAIN ROAD,WAIDHAN, SINGRAULLI, MADHYA PRADESH486886	486886		
314648	M/S PRAKASH PARIDHAN NX	UJJAIN	PETER ENGLAND SHOWROOM,84/15, VIKRAM MARG SHAHID PARK, FREEGANJ UJJAIN (M. P.)456010	23.178716	75.790751	23.178716,75.790751	UJJAIN	PETER ENGLAND SHOWROOM,84/15, VIKRAM MARG SHAHID PARK, FREEGANJ UJJAIN (M. P.)456010	456010		
313549	M/S SELECTIONS	LATUR	PETER ENGLAND SHOWROOM,LIFE STYLE – I, AUSA ROAD, , RAJIV GANDHI CHOWK, , LATUR413531	18.38347	76.5511953	18.38347,76.5511953	LATUR	PETER ENGLAND SHOWROOM,LIFE STYLE – I, AUSA ROAD, , RAJIV GANDHI CHOWK, , LATUR413531	413531		
313548	PRARTHANA ENTERPRISES	PUNE	PETER ENGLAND SHOWROOM,NEAR CANARA BANK,DHANORI LOHEGAON ROAD, SR NO. 17, SHOP NO. HG-2,GOODWILL SQUARE411015	18.5985251	73.9036752	18.5985251,73.9036752	PUNE	PETER ENGLAND SHOWROOM,NEAR CANARA BANK,DHANORI LOHEGAON ROAD, SR NO. 17, SHOP NO. HG-2,GOODWILL SQUARE411015	411015		
313584	PRIDE	PUNE	PETER ENGLAND SHOWROOM,MUMBAI PUNE RD, SHOP NO 47-50,TAPASVI PLAZA,411 011	18.6489785	73.7865905	18.6489785,73.7865905	PUNE	PETER ENGLAND SHOWROOM,MUMBAI PUNE RD, SHOP NO 47-50,TAPASVI PLAZA,411 011	411011		
313669	SALASAR APPAREL	NANDED	PETER ENGLAND SHOWROOM,SHOP NO. 5,6 PAWDE COMPLEX,OPP LOKMAT OFFICE SHIVAJI NAGAR, NANDED431602	19.5540644	75.9431445	19.5540644,75.9431445	NANDED	PETER ENGLAND SHOWROOM,SHOP NO. 5,6 PAWDE COMPLEX,OPP LOKMAT OFFICE SHIVAJI NAGAR, NANDED431602	431602		
314580	SATI FASHION	KORBA	PETER ENGLAND SHOWROOM,NEAR SS PLAZA , P H ROAD KORBA , CHATTISGARH 494001	22.350278	82.700278	22.350278,82.700278	KORBA	PETER ENGLAND SHOWROOM,NEAR SS PLAZA , P H ROAD KORBA , CHATTISGARH 494001	494001		
314581	SHREE SADHU MENS WEAR	SHAHDOL	PETER ENGLAND SHOWROOM,IN FRONT OF HOTEL SURYA BURHAR ROAD SHAHDOL- (M. P.)484771	23.302479	81.360918	23.302479,81.360918	SHAHDOL	PETER ENGLAND SHOWROOM,IN FRONT OF HOTEL SURYA BURHAR ROAD SHAHDOL- (M. P.)484771	484771		
314566	UNIQUE GARMENTS	REWA	PETER ENGLAND SHOWROOM,SHOP NO 1, ASHIRWAD TOWER, BESIDE LIBERTY SHOWROOM,ALLAHABAD ROAD, URRAHAT, REWA, MADHYA PRADESH486001	24.538816	81.293609	24.538816,81.293609	REWA	PETER ENGLAND SHOWROOM,SHOP NO 1, ASHIRWAD TOWER, BESIDE LIBERTY SHOWROOM,ALLAHABAD ROAD, URRAHAT, REWA, MADHYA PRADESH486001	486001		
ADHC000388	A ONE VIRAR	MUMBAI	PETER ENGLAND SHOWROOM,VIVA SUPERMARKET PVT.LTD, SHOP NO. 3 , VIVA GOKUL,NEAR AXIS BANK, GOKUL TOWNSHIP AGASHI ROAD, VIRAR (W.)401303	19.4505	72.79608333	19.4505,72.79608333	MUMBAI	PETER ENGLAND SHOWROOM,VIVA SUPERMARKET PVT.LTD, SHOP NO. 3 , VIVA GOKUL,NEAR AXIS BANK, GOKUL TOWNSHIP AGASHI ROAD, VIRAR (W.)401303	401303		
ADHC000402	A ONE VIRAR EAST	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.4, NILGIRI VIVA COMPLEX, MANVELPADA ROAD, VIRAR EAST401305	19.44908333	72.81677778	19.44908333,72.81677778	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.4, NILGIRI VIVA COMPLEX, MANVELPADA ROAD, VIRAR EAST401305	401305		
ADHC000416	ADDON ENTERPRISES - AIROLI (A DIV. OF ADDON HOLDINGS PVT LTD.)	MUMBAI	PETER ENGLAND SHOWROOM,NO .11 SHIVASHANKAR COMPLEX. SECTOR 7 AIROLI, NAVI MUMBAI 400708	19.14775	72.99536111	19.14775,72.99536111	MUMBAI	PETER ENGLAND SHOWROOM,NO .11 SHIVASHANKAR COMPLEX. SECTOR 7 AIROLI, NAVI MUMBAI 400708	400708		
ADHC000408	ADDON ANDHERI METRO	MUMBAI	PETER ENGLAND SHOWROOM,ANDHERI METRO STATION, 1ST FLOOR, 400059	19.121	72.84877778	19.121,72.84877778	MUMBAI	PETER ENGLAND SHOWROOM,ANDHERI METRO STATION, 1ST FLOOR, 400059	400059		
ADHC000418	ADDON ENTERPRISES - KHARGHAR (A DIV. OF ADDON HOLDINGS PVT LTD.)	MUMBAI	PETER ENGLAND SHOWROOM,LITTLE WORLD MALL 1ST FLOOR , KHARGHAR NEAR STATION , NEW MUMBAI-410210	19.02961111	73.06494444	19.02961111,73.06494444	MUMBAI	PETER ENGLAND SHOWROOM,LITTLE WORLD MALL 1ST FLOOR , KHARGHAR NEAR STATION , NEW MUMBAI-410210	410210		
ADHC000420	ADDON ENTERPRISES - NALASOPARA (A DIV. OF ADDON HOLDINGS PVT LTD.)	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.5-6, GREEN BUILDING, JAI VIJAY NAGAR, VASAI LINK ROAD, NALASOPARA EAST401209	19.40488889	72.82902778	19.40488889,72.82902778	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.5-6, GREEN BUILDING, JAI VIJAY NAGAR, VASAI LINK ROAD, NALASOPARA EAST401209	401209		
ADHC000425	ADDON ENTERPRISES - THANE (A DIV. OF ADDON HOLDINGS PVT LTD.)	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.1 &2, SHRUSHTI COMPLEX, OPPOSITE RAJMATA VADAPAV, BESIDES BANK OF BARODA, RAM MARUTI ROAD, THANE400602	19.18927778	72.97230556	19.18927778,72.97230556	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.1 &2, SHRUSHTI COMPLEX, OPPOSITE RAJMATA VADAPAV, BESIDES BANK OF BARODA, RAM MARUTI ROAD, THANE400602	400602		
SEPL000227	ALPHA FASHION	SURAT	PETER ENGLAND SHOWROOM,G- 4, TIME SQUARE, , NR. BHULKA BHUVAN SCHOOL, , ADAJAN ROAD, SURAT - 395009. GUJARAT395009	21.19277778	72.79944444	21.19277778,72.79944444	SURAT	PETER ENGLAND SHOWROOM,G- 4, TIME SQUARE, , NR. BHULKA BHUVAN SCHOOL, , ADAJAN ROAD, SURAT - 395009. GUJARAT395009	395009		
ADHC000389	AONE NALASOPARA	MUMBAI	PETER ENGLAND SHOWROOM,SWASTICK MEGA CITY,ASTER APARTMENT,GALA NO. 20-21GROUND FLOOR,PATENKAR PARK,NALASOPARA -WEST  401203	19.42016667	72.81108333	19.42016667,72.81108333	MUMBAI	PETER ENGLAND SHOWROOM,SWASTICK MEGA CITY,ASTER APARTMENT,GALA NO. 20-21GROUND FLOOR,PATENKAR PARK,NALASOPARA -WEST  401203	401203		
SEPL000206	BURHANI GROUP	DAHOD	PETER ENGLAND SHOWROOM,GF, PARSHWA PLAZA, BESIDES CHEERS RESTAURANT, NEAR NAVJEEVAN MILL ROAD, DAHOD. 389151	21.51055556	70.45805556	21.51055556,70.45805556	DAHOD	PETER ENGLAND SHOWROOM,GF, PARSHWA PLAZA, BESIDES CHEERS RESTAURANT, NEAR NAVJEEVAN MILL ROAD, DAHOD. 389151	389151		
ADHC000372	COLOR PALETTE KAMOTHE	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO-6,BHOOMI RATNA CO OP . HSG SOC,NEAR BANK OF BARODA OPP CCD, SECTOR NO-18 KAMOTHE NAVI MUMBAI-410209	19.01541667	73.08930556	19.01541667,73.08930556	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO-6,BHOOMI RATNA CO OP . HSG SOC,NEAR BANK OF BARODA OPP CCD, SECTOR NO-18 KAMOTHE NAVI MUMBAI-410209	410209		
ADHC000377	COLOR PALETTE KHARGHAR	MUMBAI	PETER ENGLAND SHOWROOM,GROUND FLOOR, GALAXY CARINA, BESIDES DMART, SECTOR 15, KHARGHAR400701	19.04141667	73.07622222	19.04141667,73.07622222	MUMBAI	PETER ENGLAND SHOWROOM,GROUND FLOOR, GALAXY CARINA, BESIDES DMART, SECTOR 15, KHARGHAR400701	400701		
ADHC000400	COLOR PALETTE MAHAD	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.5, APPLE PLAZA, ST STAND ROAD, MAHAD402301	18.08166667	73.42894444	18.08166667,73.42894444	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.5, APPLE PLAZA, ST STAND ROAD, MAHAD402301	402301		
ADHC000331	COLOR PALETTE PANVEL	MUMBAI	PETER ENGLAND SHOWROOM,PETER ENGLAND SHOP NO.9, KALPATRU CO OP HSC LTD, NEAR DOMINOS SECTOR NO 4. PLOT NO 230 NEW PANVEL 401206401206	19.00247222	73.11719444	19.00247222,73.11719444	MUMBAI	PETER ENGLAND SHOWROOM,PETER ENGLAND SHOP NO.9, KALPATRU CO OP HSC LTD, NEAR DOMINOS SECTOR NO 4. PLOT NO 230 NEW PANVEL 401206401206	401206		
SEPL000072	D-3 COLLECTION	VAPI	PETER ENGLAND SHOWROOM,SHOP 44 TIRUPATI PLAZA, OPP MISSION HOSPITAL, VAPI-DAMAN ROAD,CHALA VAPI -396191  396191	20.38444444	72.90194444	20.38444444,72.90194444	VAPI	PETER ENGLAND SHOWROOM,SHOP 44 TIRUPATI PLAZA, OPP MISSION HOSPITAL, VAPI-DAMAN ROAD,CHALA VAPI -396191  396191	396191		
SEPL000213	D 3 COLLECTION_SILVASSA	SILVASSA	PETER ENGLAND SHOWROOM,STORE NO.5 & 6, RATHOD COMPLEX, NEAR TELEPHONE EXCHANGE, TOKAD KHADA, SILVASSA396230	20.27416667	73.00305556	20.27416667,73.00305556	SILVASSA	PETER ENGLAND SHOWROOM,STORE NO.5 & 6, RATHOD COMPLEX, NEAR TELEPHONE EXCHANGE, TOKAD KHADA, SILVASSA396230	396230		
ADHC000393	FASHION GALLERY	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO 2 PLOT NO. 77 SHUBHAM BUILDING, SECTOR 18 KOPERKIRANE 400709	19.0095	73.03608333	19.0095,73.03608333	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO 2 PLOT NO. 77 SHUBHAM BUILDING, SECTOR 18 KOPERKIRANE 400709	400709		
SEPL000179	FASHION MANIA	MEHSANA	PETER ENGLAND SHOWROOM,G12 SATATYA COMPLEX, T.B. ROAD, MEHSANA - 384002384002	23.59444444	72.38722222	23.59444444,72.38722222	MEHSANA	PETER ENGLAND SHOWROOM,G12 SATATYA COMPLEX, T.B. ROAD, MEHSANA - 384002384002	384002		
ADHC000097	GFS	MUMBAI	PETER ENGLAND SHOWROOM,11A,CUSROWBAUG , SHAHEED BHAGAT SINGH ROAD , COLABA , MUMBAI - 400 039 400039	18.92008333	72.82986111	18.92008333,72.82986111	MUMBAI	PETER ENGLAND SHOWROOM,11A,CUSROWBAUG , SHAHEED BHAGAT SINGH ROAD , COLABA , MUMBAI - 400 039 400039	400039		
SEPL000129	KALA KRUTI	ANAND	PETER ENGLAND SHOWROOM,TULSI PARK, OPP. PRATHANA VIHAR SHOPPING CENTER,   ANAND-VALLABH VIDHYA NAGAR ROAD, ANAND.388001	22.57222222	72.94694444	22.57222222,72.94694444	ANAND	PETER ENGLAND SHOWROOM,TULSI PARK, OPP. PRATHANA VIHAR SHOPPING CENTER,   ANAND-VALLABH VIDHYA NAGAR ROAD, ANAND.388001	388001		
SEPL000086	KUMAR ASSOCIATES	BHAVNAGAR	PETER ENGLAND SHOWROOM,G-2, Shiva Blessing, Nr.Valentine Circle, Waghawadi Road, Bhavnagar- 364001	21.75861111	72.14583333	21.75861111,72.14583333	BHAVNAGAR	PETER ENGLAND SHOWROOM,G-2, Shiva Blessing, Nr.Valentine Circle, Waghawadi Road, Bhavnagar- 364001	364001		
ADHC000281	LIFE STYLE	MUMBAI	PETER ENGLAND SHOWROOM,158/2 DHAN LAXMI HOUSE NAAG DONGRI,CHANDHRE RAVAS ROAD,ALIBAG402201	18.65477778	72.87525	18.65477778,72.87525	MUMBAI	PETER ENGLAND SHOWROOM,158/2 DHAN LAXMI HOUSE NAAG DONGRI,CHANDHRE RAVAS ROAD,ALIBAG402201	402201		
SEPL000001	Madhuram Peter England	VADODARA	PETER ENGLAND SHOWROOM,OPP. SHIYAPURA POLICE GATE, RAOPURA, VADODARA-390001, GUJARAT390001	22.30333333	73.20027778	22.30333333,73.20027778	VADODARA	PETER ENGLAND SHOWROOM,OPP. SHIYAPURA POLICE GATE, RAOPURA, VADODARA-390001, GUJARAT390001	390001		
SEPL000222	Saffron Enterprises Pvt. Ltd_Porbandar	PORBANDAR	PETER ENGLAND SHOWROOM,SHOP NO.5/6, HARI KRUPA TOWER, OPP, VODAFONE STORE, M.G ROAD, PORBANDAR, 360575360575	21.63861111	69.61611111	21.63861111,69.61611111	PORBANDAR	PETER ENGLAND SHOWROOM,SHOP NO.5/6, HARI KRUPA TOWER, OPP, VODAFONE STORE, M.G ROAD, PORBANDAR, 360575360575	360575		
SEPL000221	Saffron Enterprises Pvt. Ltd_Veraval	VERAVAL	PETER ENGLAND SHOWROOM,SHOP NO.4, SHIV COMPLEX, TOWER CHOWK, NEAR ST STAND, ST STAND ROAD, VERAVAL362265	20.90972222	70.36472222	20.90972222,70.36472222	VERAVAL	PETER ENGLAND SHOWROOM,SHOP NO.4, SHIV COMPLEX, TOWER CHOWK, NEAR ST STAND, ST STAND ROAD, VERAVAL362265	362265		
SEPL000209	PROFILE-GODHRA	GODHRA	PETER ENGLAND SHOWROOM,BESIDES DR.NIMESH SHAH CLINIC, PANJARAPOLE ROAD, GODHRA 389001	22.77444444	73.6225	22.77444444,73.6225	GODHRA	PETER ENGLAND SHOWROOM,BESIDES DR.NIMESH SHAH CLINIC, PANJARAPOLE ROAD, GODHRA 389001	389001		
SEPL000136	PROFILE-BHARUCH	BHARUCH	PETER ENGLAND SHOWROOM,A-6, SHETHANA PLAZA, STATION ROAD, BHARUCH - 392001	21.70194444	72.99194444	21.70194444,72.99194444	BHARUCH	PETER ENGLAND SHOWROOM,A-6, SHETHANA PLAZA, STATION ROAD, BHARUCH - 392001	392001		
SEPL000003	Profile	BHARUCH	PETER ENGLAND SHOWROOM,G-2,BOMBAY SHOPPING CENTER , STATION ROAD, BHARUCH - 392001. GUJARAT392001	21.69888889	72.98388889	21.69888889,72.98388889	BHARUCH	PETER ENGLAND SHOWROOM,G-2,BOMBAY SHOPPING CENTER , STATION ROAD, BHARUCH - 392001. GUJARAT392001	392001		
ADHC000182	RAJ COLLECTION	MUMBAI	PETER ENGLAND SHOWROOM,AMIR APARTMENTS , SHOP # 1, GOL MAIDAN ROAD , ULHASNAGAR , MUMBAI .-421003	19.23491667	73.16055556	19.23491667,73.16055556	MUMBAI	PETER ENGLAND SHOWROOM,AMIR APARTMENTS , SHOP # 1, GOL MAIDAN ROAD , ULHASNAGAR , MUMBAI .-421003	421003		
SEPL000210	SAFFRON ENTERPRISES PVT. LTD_ADAJAN	SURAT	PETER ENGLAND SHOWROOM,NEAR POST OFFICE, LP SAVANI ROAD, BESIDES CHROMA, SURAT395009	21.18777778	72.79027778	21.18777778,72.79027778	SURAT	PETER ENGLAND SHOWROOM,NEAR POST OFFICE, LP SAVANI ROAD, BESIDES CHROMA, SURAT395009	395009		
SEPL000126	Saffron Enterprises Pvt. Ltd_Ahmedabad	MANINAGAR	PETER ENGLAND SHOWROOM,132/2 RASNA COMPLEX , MANINAGAR CROSS ROAD, RLY STATION ROAD, MANINAGR -380008	22.99666667	72.6075	22.99666667,72.6075	MANINAGAR	PETER ENGLAND SHOWROOM,132/2 RASNA COMPLEX , MANINAGAR CROSS ROAD, RLY STATION ROAD, MANINAGR -380008	380008		
SEPL000181	Saffron Enterprises Pvt. Ltd._Bhuj	BHUJ	PETER ENGLAND SHOWROOM, SHOP NO. 3, TIME SQUARE, HOSPITAL ROAD  BHUJ-370001.370001	23.24361111	69.67277778	23.24361111,69.67277778	BHUJ	PETER ENGLAND SHOWROOM, SHOP NO. 3, TIME SQUARE, HOSPITAL ROAD  BHUJ-370001.370001	370001		
SEPL000008	Saffron Enterprises Pvt. Ltd_G.dham	GANDHIDHAM	PETER ENGLAND SHOWROOM,DBZ S-42, NEAR CHAWLA CHOWK, GANDHIDHAM.-370201	23.0675	70.14277778	23.0675,70.14277778	GANDHIDHAM	PETER ENGLAND SHOWROOM,DBZ S-42, NEAR CHAWLA CHOWK, GANDHIDHAM.-370201	370201		
SEPL000007	Saffron Enterprises Pvt. Ltd_Jamnagar	JAMNAGAR	PETER ENGLAND SHOWROOM,SHOP NO 2 APURVA PLAZA II , OPP MANEK CENTER, PANDIT NEHRU MARG ,JAMNAGAR - 361008 361008	22.47583333	70.06611111	22.47583333,70.06611111	JAMNAGAR	PETER ENGLAND SHOWROOM,SHOP NO 2 APURVA PLAZA II , OPP MANEK CENTER, PANDIT NEHRU MARG ,JAMNAGAR - 361008 361008	361008		
SEPL000211	SAFFRON ENTERPRISES PVT. LTD_RAJKOT	RAJKOT	PETER ENGLAND SHOWROOM,STORE NO.2, GROUND FLOOR, BUSINESS BAY, NEAR KRISHNA MEDICAL, KALAWAD ROAD, RAJKOT300065	21.21333333	72.85861111	21.21333333,72.85861111	RAJKOT	PETER ENGLAND SHOWROOM,STORE NO.2, GROUND FLOOR, BUSINESS BAY, NEAR KRISHNA MEDICAL, KALAWAD ROAD, RAJKOT300065	300065		
SEPL000171	SHREE SHANTI (ANKLESHWAR)	ANKALESHWAR	PETER ENGLAND SHOWROOM,OMKAR-2, SHOP NO-6/7, OPP. GIDC RAILWAY STATION,NEAR LORDS PLAZA,393002	21.62277778	73.00222222	21.62277778,73.00222222	ANKALESHWAR	PETER ENGLAND SHOWROOM,OMKAR-2, SHOP NO-6/7, OPP. GIDC RAILWAY STATION,NEAR LORDS PLAZA,393002	393002		
SEPL000002	Shree Shanti	VADODARA	PETER ENGLAND SHOWROOM,SHOP NO 1, TRIMURTI BHAVAN, OPP MAHARANI SCHOOL, NAVRANG CINEMA ROAD, VADODARA-390001	22.30166667	73.20138889	22.30166667,73.20138889	VADODARA	PETER ENGLAND SHOWROOM,SHOP NO 1, TRIMURTI BHAVAN, OPP MAHARANI SCHOOL, NAVRANG CINEMA ROAD, VADODARA-390001	390001		
SEPL000075	Siddharth Square	VADODARA	PETER ENGLAND SHOWROOM,3-4 SILVER ARCADE COMPLEX, AKOTA ROAD, MUNJ MAHUDA, BARODA - 390020. GUJARAT390020	22.2875	73.16916667	22.2875,73.16916667	VADODARA	PETER ENGLAND SHOWROOM,3-4 SILVER ARCADE COMPLEX, AKOTA ROAD, MUNJ MAHUDA, BARODA - 390020. GUJARAT390020	390020		
ADHC000386	SMART DOMBIVALI	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO 7,KASTURI PLAZA , MANPADA ROAD, , DOMBIVALI(E) , THANE -421201	19.21511111	73.09052778	19.21511111,73.09052778	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO 7,KASTURI PLAZA , MANPADA ROAD, , DOMBIVALI(E) , THANE -421201	421201		
ADHC000387	SMART VASAI	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO2,MAITRA VAIBHAV , NR. ST STAND , NAVGHAR ROAD,VASAI(W) , THANE -401202	19.3835	72.83002778	19.3835,72.83002778	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO2,MAITRA VAIBHAV , NR. ST STAND , NAVGHAR ROAD,VASAI(W) , THANE -401202	401202		
SEPL000224	SUNRISE_NADIAD	NADIAD	PETER ENGLAND SHOWROOM,G -7/8, TRIMURTI COMPLEX , NADIAD - 387001. GUJARAT387001	22.69361111	72.85972222	22.69361111,72.85972222	NADIAD	PETER ENGLAND SHOWROOM,G -7/8, TRIMURTI COMPLEX , NADIAD - 387001. GUJARAT387001	387001		
SEPL000201	SUNRISE	NADIAD	PETER ENGLAND SHOWROOM,SHOP NO.1, NEXUS-3, OPPOSITE AQUENOS RESTAURANT, NADIAD- 387001	22.67305556	72.88472222	22.67305556,72.88472222	NADIAD	PETER ENGLAND SHOWROOM,SHOP NO.1, NEXUS-3, OPPOSITE AQUENOS RESTAURANT, NADIAD- 387001	387001		
ADHC000439	VISHAL ENTERPRISES	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.7, KRISH CELESTIAL, OPPOSITE GOKUL DHAM BUILDING, BESIDES BAGHBAN RESTAURANT, SECTOR 35, KHARGHAR410210	19.07116667	73.07866667	19.07116667,73.07866667	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.7, KRISH CELESTIAL, OPPOSITE GOKUL DHAM BUILDING, BESIDES BAGHBAN RESTAURANT, SECTOR 35, KHARGHAR410210	410210		
ADHC000440	VISHAL ENTERPRISES JUINAGAR	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.16, BHOOMI PARADISE, PLOT NO.2, SECTOR 11, SAPHALE400705	19.05641667	73.01455556	19.05641667,73.01455556	MUMBAI	PETER ENGLAND SHOWROOM,SHOP NO.16, BHOOMI PARADISE, PLOT NO.2, SECTOR 11, SAPHALE400705	400705		
SEPL000217	SAFFRON ENTERPRISES PVT. LTD_CHANDKHEDA	AHMEDABAD	Peter England Showroom,A-21, GF, 4 D Square,Opp, ITI Eng. Collage,  Nr. D Mart, Visat Petrol Pump to Gandhinagar Highway,Motera, Ahmedabad380005	23.10305556	72.59555556	23.10305556,72.59555556	AHMEDABAD	Peter England Showroom,A-21, GF, 4 D Square,Opp, ITI Eng. Collage,  Nr. D Mart, Visat Petrol Pump to Gandhinagar Highway,Motera, Ahmedabad380005	380005		
SEPL000218	Saffron Enterprises Pvt. Ltd_Varachha	SURAT	Peter England Showroom, Shop No. 1, Mohanbhai Gopalbhaini Wadi, Urmi Society, Varachha, Surat395006	21.21333333	72.85861111	21.21333333,72.85861111	SURAT	Peter England Showroom, Shop No. 1, Mohanbhai Gopalbhaini Wadi, Urmi Society, Varachha, Surat395006	395006		
309838	VAIBHAV	PATNA	Peter England Showroon, Maharaja City Complex, Opp Hathura Market, Patna - 800004	25°36'53.1"N	85°09'11.6"E	25°36'53.1"N,85°09'11.6"E	PATNA	Peter England Showroon, Maharaja City Complex, Opp Hathura Market, Patna - 800004	800004		
309839	SANYAM FASHION	GAYA	Peter England Showroon, Bazaza Road, Gaya - 823001	24°47'44.7"N	85°00'31.7"E	24°47'44.7"N,85°00'31.7"E	GAYA	Peter England Showroon, Bazaza Road, Gaya - 823001	823001		
309841	MANGLAM	DARBHANGA	Peter England Showroom,Mirzapur Road, Rajkumarganj, Darbhanga - 846004	26°09'16.7"N	85°53'57.1"E	26°09'16.7"N,85°53'57.1"E	DARBHANGA	Peter England Showroom,Mirzapur Road, Rajkumarganj, Darbhanga - 846004	846004		
309858	BALAJEE	KATIHAR	Dr. R. P. Road, LIC Building, Mangal Bazar, Katihar - 854105	25°32'41.0"N	87°34'06.6"E	25°32'41.0"N,87°34'06.6"E	KATIHAR	Dr. R. P. Road, LIC Building, Mangal Bazar, Katihar - 854105	854105		
309861	JMD SALES	BUXAR	Amlatoli Main Raod, Near Khadims Showroom, Buxar - 802101	25°34'34.9"N	83°58'48.1"E	25°34'34.9"N,83°58'48.1"E	BUXAR	Amlatoli Main Raod, Near Khadims Showroom, Buxar - 802101	802101		
309862	SHREE SUSHIL FANCY STORES	SITAMARHI	Main Road Shankar Chowk, Sitamarhi - 843302	26°35'39.0"N	85°29'05.5"E	26°35'39.0"N,85°29'05.5"E	SITAMARHI	Main Road Shankar Chowk, Sitamarhi - 843302	843302		
309863	SATYA FASHION	MUNGER	Near Jain Dharmshala, Azad Chowk, Munger - 811201	25°22'38.5"N	86°28'22.1"E	25°22'38.5"N,86°28'22.1"E	MUNGER	Near Jain Dharmshala, Azad Chowk, Munger - 811201	811201		
309939	FASHION SHREE	RAXAUL	Main Road, Raxaul, East Champparan - 845305	26°58'59.9"N	84°51'10.5"E	26°58'59.9"N,84°51'10.5"E	RAXAUL	Main Road, Raxaul, East Champparan - 845305	845305		
309953	SURYA	PATNA	5, M I G Colony, Kankarbagh Colony more, Patna - 800020	25°36'06.0"N	85°08'47.7"E	25°36'06.0"N,85°08'47.7"E	PATNA	5, M I G Colony, Kankarbagh Colony more, Patna - 800020	800020		
310052	NEW VARTIKA FASHION	PATNA	B-52, P C Colony, Kankarbagh, Patna - 800020	25°36'02.0"N	85°09'06.1"E	25°36'02.0"N,85°09'06.1"E	PATNA	B-52, P C Colony, Kankarbagh, Patna - 800020	800020		
310640	SURYA	BHAGALPUR	Near Marwari Pathshala, Khalifabag Chawk, Dr R. P Road, Bhagalpur 812001	25°14'52.6"N	86°58'45.8"E	25°14'52.6"N,86°58'45.8"E	BHAGALPUR	Near Marwari Pathshala, Khalifabag Chawk, Dr R. P Road, Bhagalpur 812001	812001		
311780	M M FASHION HOUSE	MADHUBANI	Peter England Showroom, Mahila college road	26°21'02.1"N	86°04'26.0"E	26°21'02.1"N,86°04'26.0"E	MADHUBANI	Peter England Showroom, Mahila college road	847211		
